id,ccn,incident_date_time,time_spread,org_id,org_name,tipsoft_id,incident_type_id,incident_type_name,incident_type_pinnable,lng,lat,public_narrative,processing_level,address,description,agency_page_link
214000156,"13-2170374","2013-08-05T01:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.840079,42.8928,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"WILSON ST & BROADWAY","LARCENY/THEFT",
214000149,"13-2170308","2013-08-05T11:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.84052699999999,42.892936,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"900 Block BROADWAY","LARCENY/THEFT",
214000148,"13-2170250","2013-08-05T10:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.80824699999999,42.872151,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1800 Block CLINTON ST","LARCENY/THEFT",
216839838,"13-2180537","2013-08-05T12:30:00Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.804132,42.890049,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1100 Block E LOVEJOY ST","ASSAULT",
214000153,"13-2170396","2013-08-05T12:57:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.80748199999999,42.898027,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1700 Block BROADWAY","LARCENY/THEFT",
341117233,"13-331194","2013-08-05T02:00:00Z",0,92604,"Cheektowaga Town Police Department",512,103,"[CPD]-GRAND LARCENY 3RD",true,-78.79432199999999,42.894122,"GRAND LARCENY 3RD",3,"100 Block HALSTEAD AV",,
341117694,"13-333938","2013-08-05T12:00:00Z",0,92604,"Cheektowaga Town Police Department",512,103,"[CPD]-IDENTITY THEFT 3RD",true,-78.78831599999999,42.883401,"IDENTITY THEFT 3RD",3,"100 Block COLBY ST",,
341117261,"13-331410","2013-08-05T16:00:00Z",0,92604,"Cheektowaga Town Police Department",512,103,"[CPD]-PETIT LARCENY",true,-78.75383600000001,42.884885,"PETIT LARCENY",3,"2600 Block UNION RD",,
341117444,"13-332482","2013-08-05T14:22:00Z",0,92604,"Cheektowaga Town Police Department",512,103,"[CPD]-PETIT LARCENY",true,-78.696941,42.880925,"PETIT LARCENY",3,"4900 Block TRANSIT RD",,
217620529,"13-2210394","2013-08-05T12:00:01Z",0,718,"Buffalo Police Department",0,97,"SEXUAL ABUSE",true,-78.82512,42.856092,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"100 Block ABBOTT RD","SEXUAL ABUSE",
